FECHA_MEDICION,LABORATORIO_COSTERO,ANOMALIA_TEMPERATURA
1971-07-01,ILO,-1.0134
1971-07-02,ILO,-1.2134
1971-07-05,ILO,-1.8403
1971-07-06,ILO,-1.407
1971-07-07,ILO,-1.2736
1971-07-08,ILO,-0.707
1971-07-09,ILO,-1.007
1971-07-12,ILO,-1.0912
1971-07-13,ILO,-0.8579
1971-07-14,ILO,-1.2246
1971-07-15,ILO,-1.0362
1971-07-16,ILO,-1.0362
1971-07-19,ILO,-1.1362
1971-07-20,ILO,-1.1044
1971-07-21,ILO,-0.9377
1971-07-22,ILO,-1.2044
1971-07-23,ILO,-0.9377
1971-07-26,ILO,-0.8869
1971-07-27,ILO,-1.0536
1971-07-30,ILO,-0.2988
1971-08-02,ILO,-0.9655
1971-08-03,ILO,-0.8655
1971-08-04,ILO,-0.8873
1971-08-05,ILO,-0.8873
1971-08-06,ILO,-0.3873
1971-08-09,ILO,-0.8421
1971-08-10,ILO,-1.0421
1971-08-11,ILO,-0.2755
1971-08-12,ILO,-0.4088
1971-08-13,ILO,-0.4421
1971-08-16,ILO,-0.4091
1971-08-17,ILO,-0.2091
1971-08-18,ILO,-0.0091
1971-08-19,ILO,-0.078
1971-08-20,ILO,-0.678
1971-08-23,ILO,-1.978
1971-08-24,ILO,-0.6821
1971-08-25,ILO,-0.8488
1971-08-26,ILO,-0.8488
1971-08-27,ILO,-0.9821
1971-08-31,ILO,-1.237
1971-09-01,ILO,-0.9703
1971-09-02,ILO,-0.737
1971-09-03,ILO,-0.7947
1971-09-06,ILO,-1.1613
1971-09-07,ILO,-0.8947
1971-09-08,ILO,-1.0272
1971-09-09,ILO,-0.4272
1971-09-10,ILO,-1.4939
1971-09-13,ILO,-0.9313
1971-09-14,ILO,-1.198
1971-09-15,ILO,-1.0313
1971-09-16,ILO,-0.1646
1971-09-17,ILO,0.302
1971-09-20,ILO,-0.9793
1971-09-21,ILO,-1.0793
1971-09-22,ILO,-1.546
1971-09-23,ILO,-0.9307
1971-09-24,ILO,-0.664
1971-09-27,ILO,-0.564
1971-09-28,ILO,-1.2567
1971-09-29,ILO,-1.1234
1971-09-30,ILO,-1.1567
1971-10-01,ILO,-1.1234
1971-10-04,ILO,-1.2382
1971-10-05,ILO,-0.9716
1971-10-06,ILO,-0.6049
1971-10-07,ILO,-1.6716
1971-10-08,ILO,-1.687
1971-10-11,ILO,-1.1204
1971-10-12,ILO,-0.7204
1971-10-13,ILO,-0.1908
1971-10-14,ILO,-0.6241
1971-10-15,ILO,-0.6908
1971-10-18,ILO,-0.6369
1971-10-19,ILO,-1.0036
1971-10-20,ILO,-0.8369
1971-10-21,ILO,-1.5036
1971-10-22,ILO,-0.5369
1971-10-25,ILO,-0.5978
1971-10-26,ILO,0.0022
1971-10-27,ILO,-0.2645
1971-10-28,ILO,-0.3715
1971-10-29,ILO,-0.9048
1971-11-02,ILO,-1.2472
1971-11-03,ILO,-0.4806
1971-11-04,ILO,-0.3806
1971-11-05,ILO,1.1194
1971-11-08,ILO,-1.4211
1971-11-09,ILO,-1.0544
1971-11-10,ILO,-0.9544
1971-11-11,ILO,0.9123
1971-11-12,ILO,1.9408
1971-11-15,ILO,-0.0926
1971-11-16,ILO,0.7741
1971-11-17,ILO,-1.2715
1971-11-18,ILO,-1.6715
1971-11-19,ILO,-1.7382
1971-11-22,ILO,-1.5966
1971-11-23,ILO,-1.9632
1971-11-24,ILO,-1.8966
1971-11-25,ILO,-1.7966
1971-11-26,ILO,-1.9966
1971-11-29,ILO,-1.8576
1971-11-30,ILO,-0.4576
1971-12-01,ILO,-0.0909
1971-12-02,ILO,-0.9544
1971-12-03,ILO,0.4789
1971-12-06,ILO,-2.5878
1971-12-07,ILO,-2.4275
1971-12-09,ILO,-2.1942
1971-12-10,ILO,-1.9942
1971-12-13,ILO,-0.9647
1971-12-14,ILO,0.802
1971-12-15,ILO,-1.1313
1971-12-16,ILO,-1.1313
1971-12-17,ILO,-3.3238
1971-12-20,ILO,-2.3238
1971-12-21,ILO,-2.5571
1971-12-22,ILO,-2.7631
1971-12-23,ILO,-1.8631
1971-12-24,ILO,-2.0631
1971-12-27,ILO,-2.9165
1971-12-28,ILO,-2.8498
1971-12-29,ILO,-2.8831
1971-12-30,ILO,-1.3498
1971-12-31,ILO,-2.3498
1972-01-03,ILO,-0.8252
1972-01-04,ILO,-0.5919
1972-01-05,ILO,0.4415
1972-01-06,ILO,0.7599
1972-01-07,ILO,-0.0401
1972-01-10,ILO,-1.6734
1972-01-11,ILO,-2.1137
